"SA_GUID__1","noHeating_pct","noRenewableEnergyHouses_pct","yearBuilt_pct","mobHome_pct","unoccupiedDwellings_pct","oneParent_pct","onePerson_pct","noCar_pct","noInternet_pct","priWater_pct","familyUnits_pct"
"00b00ae4-229d-455d-84f1-d6face4876b1",0,31.0344827586207,1.72413793103448,0,1.72413793103448,32.7586206896552,12.0689655172414,12.9310344827586,3.44827586206897,0,19.8275862068966
"03003797-1fcd-4fcf-8dde-b2188e3fb1db",0.840336134453782,58.8235294117647,28.5714285714286,0,9.2436974789916,5.88235294117647,28.5714285714286,6.72268907563025,14.2857142857143,75.6302521008403,13.4453781512605
"06650182-eeaa-4c6c-847c-f85ddaf5361b",0,62.280701754386,0,0,3.50877192982456,10.5263157894737,6.14035087719298,1.75438596491228,0.87719298245614,0,22.8070175438596
"08e82f06-46ee-4141-aa07-79a793a12b27",0,91.8604651162791,0,0,13.953488372093,33.7209302325581,15.1162790697674,18.6046511627907,3.48837209302326,0,11.6279069767442
"0920215b-86d3-4a53-9fc0-6008ae5c91f9",0,55.1020408163265,1.02040816326531,0,9.18367346938776,12.2448979591837,12.2448979591837,2.04081632653061,5.10204081632653,0,15.3061224489796
"0daa02c9-4e30-45fe-90d7-6a1d3e7af2cb",2.7027027027027,24.3243243243243,0,0,35.1351351351351,2.7027027027027,29.7297297297297,2.7027027027027,2.7027027027027,0,2.7027027027027
"0e57c869-df49-46c2-877b-36f156c13886",0.735294117647059,16.1764705882353,0,0,1.47058823529412,19.1176470588235,5.88235294117647,14.7058823529412,2.20588235294118,0.735294117647059,9.55882352941176
"1176f444-d84c-4d45-8542-8b8c8f8faf34",2.5,82.5,13.75,0,20,5,37.5,12.5,21.25,1.25,5
"118eb6e0-2bee-4d5d-ab0f-1a62533867d9",1.14942528735632,64.367816091954,31.0344827586207,0,17.2413793103448,10.3448275862069,16.0919540229885,6.89655172413793,8.04597701149425,0,16.0919540229885
"153e9c1b-7914-4336-944e-6be1093e42bb",1.33333333333333,78.6666666666667,8,0,12,8,16,2.66666666666667,6.66666666666667,0,10.6666666666667
"1d83e8e7-21a7-4171-9af4-95ca80526e6f",0,23.9316239316239,0,0,0,13.6752136752137,3.41880341880342,4.27350427350427,0.854700854700855,1.70940170940171,23.9316239316239
"1ef64ba6-b4a2-4766-a362-a8c8ea2fde69",0,72.4137931034483,1.14942528735632,0,2.29885057471264,9.19540229885057,22.9885057471264,10.3448275862069,3.44827586206897,0,5.74712643678161
"2017b716-a9c4-4a19-a78e-00e8fc41d387",0,53.5211267605634,2.8169014084507,0,18.3098591549296,4.22535211267606,25.3521126760563,4.22535211267606,0,0,7.04225352112676
"21352cf7-5b52-4014-8d9f-2a856265c1ea",4.65116279069767,65.1162790697674,2.32558139534884,0,88.3720930232558,6.97674418604651,18.6046511627907,0,2.32558139534884,2.32558139534884,9.30232558139535
"22ad6a7d-8e4d-4ab7-8555-2caad5ebd41f",1.5625,45.3125,0,0,9.375,32.8125,23.4375,15.625,3.125,4.6875,14.0625
"2544677f-3cbd-4bfa-8cfb-ca4b5f5d8487",0,45.945945945946,41.8918918918919,2.7027027027027,12.1621621621622,8.10810810810811,10.8108108108108,4.05405405405405,5.40540540540541,1.35135135135135,18.9189189189189
"26202a16-f5e2-4677-9210-83a0932830a6",1.0752688172043,26.8817204301075,10.752688172043,0,6.45161290322581,3.2258064516129,6.45161290322581,1.0752688172043,0,1.0752688172043,7.52688172043011
"2e07f2ef-8c88-421a-97e7-8962fae4f900",0,45.5621301775148,0,0,7.69230769230769,4.73372781065089,10.0591715976331,34.9112426035503,0,4.14201183431953,0.591715976331361
"34b7652b-a1bc-41f3-b17c-095b90df8cff",0,11.6279069767442,0,0,1.16279069767442,4.65116279069767,8.13953488372093,0,0,0,9.30232558139535
"357df785-6a30-4bb3-bf83-cdcb0862608d",0.952380952380952,62.8571428571429,11.4285714285714,0,14.2857142857143,13.3333333333333,21.9047619047619,4.76190476190476,16.1904761904762,6.66666666666667,15.2380952380952
"376ff1b4-95c2-4495-ad4d-0d11877196df",1.8348623853211,82.5688073394495,4.58715596330275,0,11.0091743119266,12.8440366972477,10.0917431192661,1.8348623853211,0.917431192660551,0.917431192660551,19.2660550458716
"3b75487f-3613-4ed4-93e2-10f00b185393",0,81.0526315789474,5.26315789473684,0,4.21052631578947,14.7368421052632,11.5789473684211,2.10526315789474,4.21052631578947,2.10526315789474,17.8947368421053
"3e4035b4-e5aa-4867-9544-0453c9c8d144",1.49253731343284,89.5522388059701,0,0,2.98507462686567,11.9402985074627,11.9402985074627,31.3432835820896,0,5.97014925373134,0
"42091245-a8d8-448d-8672-16cbb9b21c7f",0,85.7142857142857,22.4489795918367,0,4.08163265306122,6.12244897959184,24.4897959183673,2.04081632653061,0,0,8.16326530612245
"45feeadf-1928-4a48-80f1-ee14437adcf7",1.25,68.75,15.625,0,6.875,7.5,21.25,3.75,15.625,24.375,10.625
"4983ca86-813d-49f2-8efc-9a8b96e503ff",0,57.9545454545455,18.1818181818182,0,4.54545454545455,10.2272727272727,27.2727272727273,6.81818181818182,9.09090909090909,34.0909090909091,6.81818181818182
"4b75e605-c343-483a-8431-fc188ba62276",2.56410256410256,73.0769230769231,6.41025641025641,0,15.3846153846154,7.69230769230769,29.4871794871795,8.97435897435897,14.1025641025641,6.41025641025641,14.1025641025641
"4b9cdd99-e871-4fa9-a5d2-9d2a2d6f97fe",0,85.1485148514851,14.8514851485149,1.98019801980198,2.97029702970297,17.8217821782178,15.8415841584158,3.96039603960396,4.95049504950495,0,10.8910891089109
